datetime,Head,Neck,SpineShoulder,SpineMid,SpineBase,ShoulderRight,ShoulderLeft,HipRight,HipLeft,ElbowRight,WristRight,HandRight,HandTipRight,ThumbRight,ElbowLeft,WristLeft,HandLeft,HandTipLeft,ThumbLeft,KneeRight,AnkleRight,FootRight,KneeLeft,AnkleLeft,FootLeft
2022-12-05 11:48:53.993925,"(0.20687031745910645, 0.35634323954582214, 1.6552571058273315)","(0.2533637285232544, 0.22623343765735626, 1.6396589279174805)","(0.24926124513149261, 0.14963428676128387, 1.6398413181304932)","(0.23521874845027924, -0.08726988732814789, 1.6302103996276855)","(0.21408741176128387, -0.41399890184402466, 1.604681372642517)","(0.37794601917266846, 0.10931256413459778, 1.5588123798370361)","(0.07151222974061966, 0.09444079548120499, 1.6963127851486206)","(0.2804732024669647, -0.40114259719848633, 1.5400190353393555)","(0.1381421536207199, -0.4080605208873749, 1.5965439081192017)","(0.4183488190174103, -0.162563756108284, 1.5054748058319092)","(0.42281150817871094, -0.40101298689842224, 1.4513627290725708)","(0.4114368259906769, -0.4353979825973511, 1.4564634561538696)","(0.40197187662124634, -0.5099548697471619, 1.4463690519332886)","(0.4420146942138672, -0.4346841871738434, 1.43411123752594)","(0.024098742753267288, -0.20054662227630615, 1.6731840372085571)","(0.024955404922366142, -0.43308860063552856, 1.5943416357040405)","(0.040801990777254105, -0.46926257014274597, 1.5898396968841553)","(0.04885680228471756, -0.559438169002533, 1.567038655281067)","(0.07064445316791534, -0.47148025035858154, 1.542285680770874)","(0.2989142835140228, -0.7024943232536316, 1.4840869903564453)","(0.329948753118515, -1.0995516777038574, 1.4528892040252686)","(0.2787894904613495, -1.1292626857757568, 1.312740683555603)","(0.13293570280075073, -0.7275214195251465, 1.5607432126998901)","(0.1300465613603592, -1.1089017391204834, 1.5557329654693604)","(0.07617171108722687, -1.1418757438659668, 1.4188671112060547)"
2022-12-05 11:48:53.993925,"(0.0, 0.0, 0.0, 0.0)","(0.02639324590563774, 0.9768751263618469, 0.004514278378337622, -0.21212732791900635)","(0.024612581357359886, 0.9766861796379089, 0.026091966778039932, -0.2116541564464569)","(0.023743826895952225, 0.9783852696418762, 0.04459325224161148, -0.20052437484264374)","(0.02421056292951107, 0.9804360270500183, 0.04434157907962799, -0.19024428725242615)","(0.7719675302505493, 0.5761967897415161, -0.17948158085346222, -0.1996242105960846)","(0.785757303237915, -0.5947367548942566, -0.15643371641635895, 0.06634919345378876)","(0.6197303533554077, 0.6839019060134888, -0.21732115745544434, -0.3177797496318817)","(-0.6790372133255005, 0.7311204075813293, -0.012307231314480305, 0.0649615004658699)","(0.9853982329368591, 0.060503169894218445, 0.12042587250471115, -0.10405483841896057)","(0.8019620180130005, -0.0583353117108345, 0.5868371725082397, -0.0952681452035904)","(0.8000475764274597, -0.08695334196090698, 0.5744437575340271, 0.14959053695201874)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.8718189001083374, -0.05077355355024338, -0.4817916452884674, -0.07232347875833511)","(0.8879636526107788, -0.06934823095798492, 0.43016454577445984, -0.14720670878887177)","(0.851391613483429, 0.14925509691238403, 0.47975897789001465, -0.15062029659748077)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.8215522170066833, -0.02675809897482395, 0.5619329214096069, -0.09255972504615784)","(0.8245418667793274, 0.010070440359413624, 0.5631057620048523, -0.05423363298177719)","(0.0, 0.0, 0.0, 0.0)","(-0.5599583387374878, -0.041620977222919464, 0.8266021013259888, 0.037990543991327286)","(-0.5631030797958374, -0.003294871188700199, 0.8263518214225769, 0.006828398443758488)","(0.0, 0.0, 0.0, 0.0)"
2022-12-05 11:48:54.037806,"(0.2071382850408554, 0.35635441541671753, 1.6553148031234741)","(0.2536119520664215, 0.2261579930782318, 1.6398601531982422)","(0.24949145317077637, 0.14957335591316223, 1.6400188207626343)","(0.2353840172290802, -0.08728740364313126, 1.6303240060806274)","(0.21417377889156342, -0.413971871137619, 1.6047135591506958)","(0.3780471384525299, 0.10930175334215164, 1.5589033365249634)","(0.07173191756010056, 0.09442803263664246, 1.6964198350906372)","(0.2805560827255249, -0.4010578393936157, 1.540064811706543)","(0.1382417529821396, -0.40808072686195374, 1.5965627431869507)","(0.41840192675590515, -0.16263814270496368, 1.5053461790084839)","(0.42563265562057495, -0.40051019191741943, 1.4493454694747925)","(0.4128529727458954, -0.45466652512550354, 1.45172917842865)","(0.40404218435287476, -0.504066526889801, 1.4403879642486572)","(0.43406370282173157, -0.44915303587913513, 1.422513484954834)","(0.026979198679327965, -0.19804507493972778, 1.669443130493164)","(0.024894947186112404, -0.4316975474357605, 1.595061182975769)","(0.03989749029278755, -0.4660704433917999, 1.5896257162094116)","(0.048770464956760406, -0.526543915271759, 1.5636208057403564)","(0.06859584897756577, -0.431013286113739, 1.5514118671417236)","(0.2991744875907898, -0.7025959491729736, 1.4841680526733398)","(0.3303995430469513, -1.0994163751602173, 1.4530434608459473)","(0.27922323346138, -1.1291868686676025, 1.3128373622894287)","(0.1330242156982422, -0.7274343967437744, 1.5607126951217651)","(0.1301232874393463, -1.1088988780975342, 1.555647373199463)","(0.07619357109069824, -1.1418812274932861, 1.418723464012146)"
2022-12-05 11:48:54.037806,"(0.0, 0.0, 0.0, 0.0)","(0.026479313150048256, 0.9768416881561279, 0.004695006646215916, -0.2122666984796524)","(0.024718070402741432, 0.9766495227813721, 0.02626022882759571, -0.211790531873703)","(0.023836741223931313, 0.9783647656440735, 0.04474525898694992, -0.20057925581932068)","(0.024308577179908752, 0.9804311394691467, 0.044490694999694824, -0.19022217392921448)","(0.7718722820281982, 0.5761250853538513, -0.17961479723453522, -0.20007915794849396)","(0.7856816649436951, -0.5948542952537537, -0.15647490322589874, 0.06609370559453964)","(0.6195509433746338, 0.6840492486953735, -0.21711619198322296, -0.3179525136947632)","(-0.6792585849761963, 0.7309032082557678, -0.012303649447858334, 0.06509209424257278)","(0.9796902537345886, 0.056075625121593475, 0.1602024883031845, -0.10676012933254242)","(0.8810866475105286, -0.04001646116375923, 0.4584406614303589, -0.10916531085968018)","(0.881808340549469, -0.0926755964756012, 0.4567301273345947, 0.07226908206939697)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.8732465505599976, -0.044358085840940475, -0.47921425104141235, -0.07633169740438461)","(0.8705464601516724, -0.07640785723924637, 0.46751680970191956, -0.13318611681461334)","(0.8266381621360779, 0.13250991702079773, 0.5197921395301819, -0.17007797956466675)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.8215417861938477, -0.026471881195902824, 0.5619519948959351, -0.09261862188577652)","(0.824560821056366, 0.01032782532274723, 0.5630646347999573, -0.05432331934571266)","(0.0, 0.0, 0.0, 0.0)","(-0.5599781274795532, -0.041687194257974625, 0.826582133769989, 0.03806125745177269)","(-0.5630165338516235, -0.003345807781443, 0.8264102339744568, 0.006879945285618305)","(0.0, 0.0, 0.0, 0.0)"
2022-12-05 11:48:54.082686,"(0.2072007954120636, 0.3563545346260071, 1.6553908586502075)","(0.2539808750152588, 0.22607161104679108, 1.6401841640472412)","(0.24982336163520813, 0.14951729774475098, 1.6403069496154785)","(0.23560386896133423, -0.08726265281438828, 1.630517840385437)","(0.21428069472312927, -0.4138684570789337, 1.604797124862671)","(0.37814757227897644, 0.1093076840043068, 1.5589872598648071)","(0.07197953015565872, 0.09459230303764343, 1.6968708038330078)","(0.28061673045158386, -0.40091100335121155, 1.540112018585205)","(0.13840657472610474, -0.40801942348480225, 1.5966905355453491)","(0.4184981882572174, -0.1626214236021042, 1.5051288604736328)","(0.40459027886390686, -0.3985808789730072, 1.4401904344558716)","(0.40883904695510864, -0.45107853412628174, 1.4516279697418213)","(0.4031791388988495, -0.507986307144165, 1.4390028715133667)","(0.42971673607826233, -0.4465804696083069, 1.41915762424469)","(0.026521891355514526, -0.1984819769859314, 1.671108603477478)","(0.025452936068177223, -0.4314565658569336, 1.5946016311645508)","(0.04042523354291916, -0.4668305814266205, 1.5902389287948608)","(0.048887480050325394, -0.549133837223053, 1.5678168535232544)","(0.049204591661691666, -0.462888240814209, 1.593058705329895)","(0.2991912364959717, -0.7025899887084961, 1.4841934442520142)","(0.3303146958351135, -1.0990220308303833, 1.4530696868896484)","(0.27900218963623047, -1.1287909746170044, 1.31289803981781)","(0.13349983096122742, -0.7276190519332886, 1.560847520828247)","(0.13096798956394196, -1.1085784435272217, 1.555780291557312)","(0.07695813477039337, -1.1416072845458984, 1.4188909530639648)"
2022-12-05 11:48:54.082686,"(0.0, 0.0, 0.0, 0.0)","(0.02667229063808918, 0.9766963124275208, 0.004994237795472145, -0.2129034698009491)","(0.024897094815969467, 0.9765004515647888, 0.026528717949986458, -0.21242256462574005)","(0.02395281381905079, 0.9782464504241943, 0.044966261833906174, -0.20109228789806366)","(0.024432189762592316, 0.9803404808044434, 0.044707611203193665, -0.19062215089797974)","(0.7716948390007019, 0.57594233751297, -0.18005315959453583, -0.2008940428495407)","(0.7852040529251099, -0.5953593850135803, -0.156917542219162, 0.0661717876791954)","(0.6193665266036987, 0.6840135455131531, -0.2171049416065216, -0.3183959126472473)","(-0.6794419884681702, 0.7307435274124146, -0.012020492926239967, 0.06502353399991989)","(0.9762388467788696, 0.053816426545381546, 0.1797647774219513, -0.10837966948747635)","(0.8704659342765808, -0.08899158984422684, 0.4728524088859558, -0.10382808744907379)","(0.8785918354988098, 0.08494310826063156, 0.46378418803215027, 0.07592884451150894)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.8712315559387207, -0.045979876071214676, -0.48290157318115234, -0.07515009492635727)","(0.2760671079158783, -0.15229974687099457, 0.9480631351470947, -0.042049258947372437)","(0.2754361033439636, 0.0003715167404152453, 0.9389608502388, -0.2061246782541275)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.8217759728431702, -0.026500970125198364, 0.5616151690483093, -0.09257612377405167)","(0.8248195648193359, 0.010258062742650509, 0.5626891255378723, -0.05429939925670624)","(0.0, 0.0, 0.0, 0.0)","(-0.5596554279327393, -0.04193316772580147, 0.8268089294433594, 0.03760942071676254)","(-0.5626852512359619, -0.0036276583559811115, 0.8266378045082092, 0.006488746963441372)","(0.0, 0.0, 0.0, 0.0)"
2022-12-05 11:48:54.131555,"(0.20751982927322388, 0.35635992884635925, 1.6556893587112427)","(0.25457099080085754, 0.225877583026886, 1.6405911445617676)","(0.25034189224243164, 0.1493714600801468, 1.6406604051589966)","(0.23590725660324097, -0.08727989345788956, 1.6307278871536255)","(0.21437770128250122, -0.4137805998325348, 1.6048492193222046)","(0.3783327639102936, 0.10922031849622726, 1.5590859651565552)","(0.07274385541677475, 0.09468496590852737, 1.697206974029541)","(0.28067746758461, -0.400729775428772, 1.540127158164978)","(0.13856665790081024, -0.4080045819282532, 1.5968034267425537)","(0.4184526205062866, -0.1628325879573822, 1.5041751861572266)","(0.415587842464447, -0.39939481019973755, 1.4414340257644653)","(0.40696650743484497, -0.42983993887901306, 1.4447101354599)","(0.3963550925254822, -0.5052744746208191, 1.4345756769180298)","(0.44098418951034546, -0.40586358308792114, 1.4397695064544678)","(0.0263193529099226, -0.20008918642997742, 1.6717603206634521)","(0.025695500895380974, -0.4325777292251587, 1.59395170211792)","(0.04037458822131157, -0.467023640871048, 1.5894675254821777)","(0.0491444431245327, -0.5533143877983093, 1.5762712955474854)","(0.007494993507862091, -0.47702741622924805, 1.574428677558899)","(0.2994343340396881, -0.7025340795516968, 1.4842246770858765)","(0.3307363986968994, -1.098444938659668, 1.4531575441360474)","(0.27922600507736206, -1.128347396850586, 1.3128116130828857)","(0.1336750090122223, -0.7277081608772278, 1.5611042976379395)","(0.13116692006587982, -1.1081817150115967, 1.5561978816986084)","(0.07690134644508362, -1.1413581371307373, 1.4191789627075195)"
2022-12-05 11:48:54.131555,"(0.0, 0.0, 0.0, 0.0)","(0.02706628292798996, 0.9765297770500183, 0.005457640625536442, -0.21360543370246887)","(0.025268830358982086, 0.9763283729553223, 0.026951421052217484, -0.21311518549919128)","(0.02419184148311615, 0.9781061410903931, 0.04529179260134697, -0.20167234539985657)","(0.024679502472281456, 0.9802268147468567, 0.04502793028950691, -0.19109879434108734)","(0.7715454697608948, 0.5755919218063354, -0.18052583932876587, -0.2020442932844162)","(0.7848451137542725, -0.5957173705101013, -0.15744364261627197, 0.0659576877951622)","(0.6190361976623535, 0.6840976476669312, -0.2169198840856552, -0.3189832866191864)","(-0.6797728538513184, 0.7304518222808838, -0.011622801423072815, 0.06491542607545853)","(0.9741464257240295, 0.05185317620635033, 0.1900343894958496, -0.11062054336071014)","(0.6519306302070618, -0.10127392411231995, 0.7471575736999512, -0.08053363114595413)","(0.6904144883155823, -0.058330364525318146, 0.7084159255027771, 0.13443349301815033)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.8706916570663452, -0.047304507344961166, -0.4837583601474762, -0.07507501542568207)","(-0.4820648729801178, -0.13966716825962067, 0.8612560629844666, 0.07965222746133804)","(-0.5344765186309814, -0.1596379429101944, 0.8191741704940796, -0.13343238830566406)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.8220421075820923, -0.02618463709950447, 0.5612205862998962, -0.09269580990076065)","(0.8250941038131714, 0.010524215176701546, 0.5622686743736267, -0.05443168431520462)","(0.0, 0.0, 0.0, 0.0)","(-0.5592510104179382, -0.04176760092377663, 0.8270988464355469, 0.03743293136358261)","(-0.5621601343154907, -0.0034792213700711727, 0.8269967436790466, 0.00635013822466135)","(0.0, 0.0, 0.0, 0.0)"
2022-12-05 11:48:54.171453,"(0.207700714468956, 0.35637539625167847, 1.6558055877685547)","(0.2548767030239105, 0.22593219578266144, 1.6407158374786377)","(0.250617116689682, 0.14942114055156708, 1.6407740116119385)","(0.23608332872390747, -0.0872379019856453, 1.630806803703308)","(0.2144373655319214, -0.41374126076698303, 1.604870319366455)","(0.3784063458442688, 0.10921939462423325, 1.5591251850128174)","(0.07274757325649261, 0.09465387463569641, 1.6972410678863525)","(0.28073686361312866, -0.4006121754646301, 1.5401211977005005)","(0.13864290714263916, -0.40801802277565, 1.5968495607376099)","(0.41849514842033386, -0.16248032450675964, 1.503607988357544)","(0.407566636800766, -0.39836445450782776, 1.4384698867797852)","(0.4069415330886841, -0.45232704281806946, 1.4423964023590088)","(0.40288296341896057, -0.5013148188591003, 1.4289946556091309)","(0.4223135709762573, -0.43574053049087524, 1.4087145328521729)","(0.029304463416337967, -0.20087558031082153, 1.6684436798095703)","(0.025598566979169846, -0.43421754240989685, 1.5939971208572388)","(0.041292060166597366, -0.46915897727012634, 1.5910440683364868)","(0.04914868623018265, -0.5561112761497498, 1.5763112306594849)","(0.008482824079692364, -0.46451613306999207, 1.5811001062393188)","(0.29941055178642273, -0.7025259733200073, 1.4843027591705322)","(0.3305780291557312, -1.0982091426849365, 1.4533635377883911)","(0.279009610414505, -1.1281840801239014, 1.3129005432128906)","(0.133755624294281, -0.7276888489723206, 1.5611448287963867)","(0.13125450909137726, -1.1080474853515625, 1.5562305450439453)","(0.07693862915039062, -1.1412816047668457, 1.4190860986709595)"
2022-12-05 11:48:54.171453,"(0.0, 0.0, 0.0, 0.0)","(0.02724277414381504, 0.9765140414237976, 0.005571750923991203, -0.21365199983119965)","(0.02545483596622944, 0.9763110876083374, 0.027067089453339577, -0.2131573110818863)","(0.024340923875570297, 0.9780698418617249, 0.04541568458080292, -0.20180261135101318)","(0.02482576109468937, 0.9801743030548096, 0.04515247419476509, -0.1913195550441742)","(0.7716635465621948, 0.57520991563797, -0.1807224154472351, -0.20250532031059265)","(0.7848870158195496, -0.5957394242286682, -0.15732455253601074, 0.06554332375526428)","(0.6187636256217957, 0.6842496991157532, -0.21678437292575836, -0.31927788257598877)","(-0.6800209283828735, 0.7302297353744507, -0.011470247991383076, 0.0648418515920639)","(0.9761287569999695, 0.052906617522239685, 0.17891541123390198, -0.1111883819103241)","(0.9147652983665466, -0.0723191648721695, 0.38037610054016113, -0.11527543514966965)","(0.9269280433654785, 0.008206306025385857, 0.37343376874923706, 0.035837698727846146)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.865568995475769, -0.039289746433496475, -0.4931439459323883, -0.07781781256198883)","(-0.4484613239765167, -0.13356396555900574, 0.8804384469985962, 0.07662388682365417)","(-0.5026419162750244, -0.14125913381576538, 0.8379197716712952, -0.15902014076709747)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)","(0.8221946954727173, -0.026189027354121208, 0.5610318183898926, -0.09248416125774384)","(0.8251132965087891, 0.010482294484972954, 0.5622602701187134, -0.05423634871840477)","(0.0, 0.0, 0.0, 0.0)","(-0.5590680241584778, -0.04179108515381813, 0.827221691608429, 0.03742670640349388)","(-0.5621562600135803, -0.0034940075129270554, 0.8269992470741272, 0.006350272800773382)","(0.0, 0.0, 0.0, 0.0)"
