datetime,Head,Neck,SpineShoulder,SpineMid,SpineBase,ShoulderRight,ShoulderLeft,HipRight,HipLeft,ElbowRight,WristRight,HandRight,HandTipRight,ThumbRight,ElbowLeft,WristLeft,HandLeft,HandTipLeft,ThumbLeft,KneeRight,AnkleRight,FootRight,KneeLeft,AnkleLeft,FootLeft
2022-09-21 15:38:58.158091,"(0.0675615593791008, 0.3273497223854065, 1.629961371421814)","(0.08497047424316406, 0.19396533071994781, 1.627589225769043)","(0.08165539801120758, 0.12200324982404709, 1.6379095315933228)","(0.07096792757511139, -0.09964784979820251, 1.6593190431594849)","(0.05575678497552872, -0.4032449424266815, 1.6761808395385742)","(0.27234190702438354, 0.08441337943077087, 1.5836176872253418)","(-0.11528654396533966, 0.057013291865587234, 1.6389588117599487)","(0.14362463355064392, -0.38904616236686707, 1.616511344909668)","(-0.03425182029604912, -0.40102100372314453, 1.6675846576690674)","(0.5158036947250366, -0.09805253893136978, 1.6047226190567017)","(0.7151190042495728, -0.21307072043418884, 1.606905221939087)","(0.761016309261322, -0.2394239604473114, 1.6124725341796875)","(0.7938640117645264, -0.2700575888156891, 1.5890929698944092)","(0.7246299982070923, -0.17535264790058136, 1.5613157749176025)","(-0.26724427938461304, -0.12476389855146408, 1.5540591478347778)","(-0.4213303029537201, -0.26652464270591736, 1.441034197807312)","(-0.46514758467674255, -0.31058549880981445, 1.4617640972137451)","(-0.5101084113121033, -0.3767985999584198, 1.5433452129364014)","(-0.49055707454681396, -0.32235288619995117, 1.4206840991973877)","(0.2013399302959442, -0.6705268025398254, 1.4494515657424927)","(0.16072511672973633, -0.7829431295394897, 1.4851499795913696)","(0.17147579789161682, -0.856955885887146, 1.4270678758621216)","(-0.026190076023340225, -0.6666553020477295, 1.4594148397445679)","(-0.010745045728981495, -0.83159339427948, 1.5476601123809814)","(-0.04300319030880928, -0.7575333714485168, 1.4072531461715698)"
2022-09-21 15:38:58.195553,"(0.07515579462051392, 0.3245842754840851, 1.6589641571044922)","(0.08878934383392334, 0.19213928282260895, 1.6548172235488892)","(0.08615842461585999, 0.11984733492136002, 1.65830659866333)","(0.07635720819234848, -0.10171189159154892, 1.6636710166931152)","(0.06779252737760544, -0.40601441264152527, 1.6619971990585327)","(0.27312082052230835, 0.08077043294906616, 1.6005845069885254)","(-0.1122061088681221, 0.05190906301140785, 1.667699933052063)","(0.1550064980983734, -0.39120984077453613, 1.6000500917434692)","(-0.02201525866985321, -0.40425971150398254, 1.655930995941162)","(0.5218820571899414, -0.09889862686395645, 1.6160528659820557)","(0.7179277539253235, -0.21477049589157104, 1.610053300857544)","(0.7647916078567505, -0.24344022572040558, 1.6184436082839966)","(0.7960054278373718, -0.2869127690792084, 1.5955954790115356)","(0.7271157503128052, -0.1798911690711975, 1.5644447803497314)","(-0.22281892597675323, -0.14780837297439575, 1.6029918193817139)","(-0.35663750767707825, -0.2985757887363434, 1.4808545112609863)","(-0.431165486574173, -0.31434720754623413, 1.4856394529342651)","(-0.4722003936767578, -0.35517939925193787, 1.4811089038848877)","(-0.4460259675979614, -0.3075786828994751, 1.440699815750122)","(0.1851198375225067, -0.6936341524124146, 1.5168874263763428)","(0.12439294904470444, -1.0483258962631226, 1.473249912261963)","(0.10192345827817917, -1.069283366203308, 1.3516932725906372)","(0.013385972008109093, -0.7509921789169312, 1.6222232580184937)","(0.04163433238863945, -1.0541622638702393, 1.721712589263916)","(0.02473893202841282, -1.0726466178894043, 1.598529577255249)"
2022-09-21 15:38:58.232450,"(0.07897215336561203, 0.32295548915863037, 1.6826727390289307)","(0.09345939755439758, 0.19025872647762299, 1.675163984298706)","(0.09160467982292175, 0.1171005517244339, 1.6796215772628784)","(0.08445020020008087, -0.10755576938390732, 1.682998776435852)","(0.07518630474805832, -0.4147939085960388, 1.675610065460205)","(0.2746986448764801, 0.07825405895709991, 1.6199842691421509)","(-0.10761119425296783, 0.04927993565797806, 1.6898620128631592)","(0.16197285056114197, -0.3997184634208679, 1.6125690937042236)","(-0.014500792138278484, -0.412984699010849, 1.6704028844833374)","(0.5248022675514221, -0.1006462499499321, 1.6288422346115112)","(0.7203429937362671, -0.21629785001277924, 1.61708402633667)","(0.7654709815979004, -0.24712495505809784, 1.6255228519439697)","(0.7940892577171326, -0.2895232141017914, 1.6040593385696411)","(0.7689768671989441, -0.24098455905914307, 1.5760588645935059)","(-0.21852099895477295, -0.14553919434547424, 1.6112428903579712)","(-0.35251379013061523, -0.2955358922481537, 1.4894747734069824)","(-0.4190968871116638, -0.319979190826416, 1.4986423254013062)","(-0.4577668309211731, -0.3591557741165161, 1.4912055730819702)","(-0.42906758189201355, -0.3611134886741638, 1.5557498931884766)","(0.18720990419387817, -0.6927182078361511, 1.5194135904312134)","(0.14412760734558105, -1.071081280708313, 1.491929054260254)","(0.12293536216020584, -1.0866193771362305, 1.3762825727462769)","(0.02542288787662983, -0.770519495010376, 1.6584508419036865)","(0.11382956802845001, -1.0409538745880127, 1.7957072257995605)","(0.09577302634716034, -1.057893991470337, 1.6767481565475464)"
2022-09-21 15:38:58.268354,"(0.0823233425617218, 0.32079771161079407, 1.7036707401275635)","(0.0965333953499794, 0.1877344250679016, 1.7010831832885742)","(0.09470489621162415, 0.11394467949867249, 1.7053343057632446)","(0.08835412561893463, -0.11310503631830215, 1.7088748216629028)","(0.07940898835659027, -0.42428871989250183, 1.7021160125732422)","(0.2783622145652771, 0.07533379644155502, 1.6426429748535156)","(-0.10062821209430695, 0.045716047286987305, 1.7159470319747925)","(0.16593840718269348, -0.4091620445251465, 1.638767123222351)","(-0.010179472155869007, -0.4223131239414215, 1.696852207183838)","(0.5303837060928345, -0.10638812184333801, 1.6480560302734375)","(0.7263785600662231, -0.2214648276567459, 1.629923939704895)","(0.7666875720024109, -0.25490331649780273, 1.639893889427185)","(0.7922637462615967, -0.29389825463294983, 1.618847370147705)","(0.7671871185302734, -0.22775186598300934, 1.5863748788833618)","(-0.21396136283874512, -0.14885449409484863, 1.6290477514266968)","(-0.3512231111526489, -0.304153710603714, 1.5186855792999268)","(-0.4101432263851166, -0.32963642477989197, 1.5163555145263672)","(-0.45803025364875793, -0.3708743751049042, 1.5306774377822876)","(-0.4037127196788788, -0.38577696681022644, 1.5816667079925537)","(0.19437921047210693, -0.6937174797058105, 1.5323585271835327)","(0.1659274399280548, -1.0866507291793823, 1.5083541870117188)","(0.14356672763824463, -1.1006556749343872, 1.3901829719543457)","(0.03303288668394089, -0.778275191783905, 1.6956638097763062)","(0.12661942839622498, -1.0582977533340454, 1.82362961769104)","(0.10687541961669922, -1.0764355659484863, 1.7015630006790161)"
2022-09-21 15:38:58.304258,"(0.0845780149102211, 0.3168184757232666, 1.7259544134140015)","(0.09797503799200058, 0.18345287442207336, 1.7203457355499268)","(0.09637092053890228, 0.10983176529407501, 1.7250089645385742)","(0.09082214534282684, -0.11661262065172195, 1.7292962074279785)","(0.08271373808383942, -0.4267805516719818, 1.7231299877166748)","(0.28202906250953674, 0.07178284972906113, 1.6629130840301514)","(-0.0980839878320694, 0.0433831624686718, 1.7379111051559448)","(0.16891829669475555, -0.4120016098022461, 1.659104585647583)","(-0.0066487109288573265, -0.42450541257858276, 1.7183467149734497)","(0.5320971608161926, -0.11022033542394638, 1.663516640663147)","(0.7275758385658264, -0.2246633768081665, 1.6432609558105469)","(0.765555739402771, -0.260227233171463, 1.6556397676467896)","(0.7910390496253967, -0.30065953731536865, 1.6367943286895752)","(0.7751495838165283, -0.24657802283763885, 1.604599952697754)","(-0.1986224353313446, -0.15753120183944702, 1.6629822254180908)","(-0.33807969093322754, -0.28927451372146606, 1.5267353057861328)","(-0.37981539964675903, -0.314455509185791, 1.523051381111145)","(-0.42469704151153564, -0.3632214665412903, 1.5064074993133545)","(-0.3895650804042816, -0.382117360830307, 1.5675455331802368)","(0.2032075673341751, -0.689939022064209, 1.5442200899124146)","(0.17517471313476562, -1.0915793180465698, 1.5237575769424438)","(0.15273059904575348, -1.1041138172149658, 1.4029648303985596)","(0.04377996176481247, -0.7746580839157104, 1.7243993282318115)","(0.1430770605802536, -1.071526288986206, 1.827174186706543)","(0.12239189445972443, -1.090386986732483, 1.7031506299972534)"
2022-09-21 15:38:58.341159,"(0.08552134037017822, 0.3135404884815216, 1.7480533123016357)","(0.0971134677529335, 0.1800050139427185, 1.7436753511428833)","(0.09613551199436188, 0.10652356594800949, 1.7489148378372192)","(0.0926630049943924, -0.11944494396448135, 1.755135416984558)","(0.08759594708681107, -0.4287828803062439, 1.7520697116851807)","(0.28198373317718506, 0.06871407479047775, 1.6820533275604248)","(-0.09256058931350708, 0.041510503739118576, 1.7651066780090332)","(0.17324639856815338, -0.41444581747055054, 1.687358021736145)","(-0.0013601417886093259, -0.4262293577194214, 1.7478030920028687)","(0.5305132865905762, -0.11271539330482483, 1.6800696849822998)","(0.726029098033905, -0.22638216614723206, 1.6589350700378418)","(0.7630027532577515, -0.26524195075035095, 1.6719037294387817)","(0.7886605262756348, -0.3078063130378723, 1.650787353515625)","(0.7763320207595825, -0.2692946493625641, 1.613399863243103)","(-0.1909126490354538, -0.1570177674293518, 1.6807459592819214)","(-0.32933446764945984, -0.2898288071155548, 1.5450478792190552)","(-0.36280393600463867, -0.31350943446159363, 1.539535641670227)","(-0.40828651189804077, -0.37277573347091675, 1.5244853496551514)","(-0.3385256826877594, -0.3366380035877228, 1.5928667783737183)","(0.21255458891391754, -0.6880923509597778, 1.5686780214309692)","(0.17898842692375183, -1.0887025594711304, 1.511053442955017)","(0.15487739443778992, -1.1060587167739868, 1.3875373601913452)","(0.05458597466349602, -0.7713579535484314, 1.7528704404830933)","(0.12337878346443176, -1.0911730527877808, 1.8310766220092773)","(0.1005774736404419, -1.110978126525879, 1.705832600593567)"
2022-09-21 15:38:58.379092,"(0.08403706550598145, 0.3067539930343628, 1.7754806280136108)","(0.09621826559305191, 0.1749417781829834, 1.7662127017974854)","(0.09617388993501663, 0.10180096328258514, 1.7725735902786255)","(0.09578298777341843, -0.12291596829891205, 1.782358169555664)","(0.09537346661090851, -0.4300457537174225, 1.784502625465393)","(0.28100070357322693, 0.06264873594045639, 1.7060561180114746)","(-0.09102416783571243, 0.037212125957012177, 1.792383074760437)","(0.18037328124046326, -0.41624078154563904, 1.7192516326904297)","(0.006821802351623774, -0.42720356583595276, 1.780709147453308)","(0.5316717624664307, -0.11952780932188034, 1.7022459506988525)","(0.7283787727355957, -0.22955229878425598, 1.67357337474823)","(0.7620012760162354, -0.27121591567993164, 1.6914488077163696)","(0.786195695400238, -0.3155929446220398, 1.6739071607589722)","(0.7745038270950317, -0.27145910263061523, 1.630666732788086)","(-0.18185287714004517, -0.16604755818843842, 1.7130242586135864)","(-0.3223116397857666, -0.28847840428352356, 1.5699244737625122)","(-0.3447549641132355, -0.3095070719718933, 1.5566037893295288)","(-0.3896715044975281, -0.37935036420822144, 1.5319744348526)","(-0.3153058886528015, -0.3290683627128601, 1.599857211112976)","(0.22080330550670624, -0.6951491832733154, 1.5988707542419434)","(0.2142033874988556, -1.0891448259353638, 1.5042328834533691)","(0.1887332946062088, -1.1072502136230469, 1.3813526630401611)","(0.06828682869672775, -0.7771448493003845, 1.7866230010986328)","(0.12692013382911682, -1.1003283262252808, 1.8436897993087769)","(0.10337232053279877, -1.1208903789520264, 1.7189912796020508)"
2022-09-21 15:38:58.419118,"(0.0823475793004036, 0.3039783835411072, 1.795778751373291)","(0.09466741234064102, 0.17024150490760803, 1.7899399995803833)","(0.09594772011041641, 0.09739812463521957, 1.7966505289077759)","(0.09952898323535919, -0.12637417018413544, 1.8074010610580444)","(0.10434878617525101, -0.43224409222602844, 1.8106677532196045)","(0.2782498896121979, 0.060605958104133606, 1.7263482809066772)","(-0.08801481872797012, 0.03414224833250046, 1.818334937095642)","(0.18889164924621582, -0.418202668428421, 1.7469689846038818)","(0.01592823676764965, -0.42978227138519287, 1.8053672313690186)","(0.5277919173240662, -0.12130564451217651, 1.7195155620574951)","(0.7236509323120117, -0.2322441190481186, 1.689246416091919)","(0.7281479239463806, -0.2453916221857071, 1.696351408958435)","(0.7808933258056641, -0.31536155939102173, 1.6979902982711792)","(0.7229585647583008, -0.20450136065483093, 1.6386668682098389)","(-0.17391760647296906, -0.16982559859752655, 1.7355042695999146)","(-0.3135327398777008, -0.28999820351600647, 1.5898566246032715)","(-0.3218938112258911, -0.30660882592201233, 1.5905981063842773)","(-0.3608151376247406, -0.3723873198032379, 1.542174220085144)","(-0.30765095353126526, -0.34828224778175354, 1.655571460723877)","(0.22706086933612823, -0.7024107575416565, 1.6235357522964478)","(0.25735151767730713, -1.0915896892547607, 1.527090072631836)","(0.22942745685577393, -1.1104776859283447, 1.404287338256836)","(0.07491890341043472, -0.785334050655365, 1.8142234086990356)","(0.1458599865436554, -1.1059666872024536, 1.8524571657180786)","(0.1203010082244873, -1.1270921230316162, 1.727901816368103)"
2022-09-21 15:38:58.458070,"(0.0793093889951706, 0.2984165847301483, 1.8201907873153687)","(0.09398820251226425, 0.16850948333740234, 1.8116275072097778)","(0.09669273346662521, 0.09540771692991257, 1.8197675943374634)","(0.10510650277137756, -0.12917518615722656, 1.8351341485977173)","(0.1176447793841362, -0.436285138130188, 1.8453186750411987)","(0.27479156851768494, 0.05887729302048683, 1.7508962154388428)","(-0.08662402629852295, 0.029842374846339226, 1.8409264087677002)","(0.20062969624996185, -0.4191572368144989, 1.78018319606781)","(0.030498532578349113, -0.43728357553482056, 1.8415887355804443)","(0.522334635257721, -0.12219932675361633, 1.7364145517349243)","(0.7142432928085327, -0.23972193896770477, 1.7094519138336182)","(0.7503607869148254, -0.27832674980163574, 1.7225168943405151)","(0.7809589505195618, -0.32701757550239563, 1.707162857055664)","(0.7513240575790405, -0.25404638051986694, 1.6800909042358398)","(-0.16223078966140747, -0.181285098195076, 1.7704089879989624)","(-0.3025691509246826, -0.30644848942756653, 1.6308321952819824)","(-0.30609866976737976, -0.3166964650154114, 1.6215153932571411)","(-0.3368523418903351, -0.3804789185523987, 1.5729353427886963)","(-0.317793071269989, -0.37445077300071716, 1.6693333387374878)","(0.2344232052564621, -0.7123037576675415, 1.652639627456665)","(0.27250993251800537, -1.0910463333129883, 1.544018030166626)","(0.24458830058574677, -1.1115987300872803, 1.4208407402038574)","(0.0816674530506134, -0.795621395111084, 1.8420445919036865)","(0.1535497009754181, -1.119760274887085, 1.8655927181243896)","(0.12812869250774384, -1.1423135995864868, 1.7407907247543335)"
2022-09-21 15:38:58.497036,"(0.08023570477962494, 0.2925214469432831, 1.8671876192092896)","(0.09059188514947891, 0.159433051943779, 1.8612027168273926)","(0.09494370967149734, 0.08680515736341476, 1.8699536323547363)","(0.10785370320081711, -0.13593289256095886, 1.886753797531128)","(0.12510228157043457, -0.43974247574806213, 1.8983891010284424)","(0.2754373252391815, 0.053790006786584854, 1.8001728057861328)","(-0.0826214924454689, 0.02671448513865471, 1.8921327590942383)","(0.2079382836818695, -0.42329227924346924, 1.833740234375)","(0.03778422996401787, -0.44016268849372864, 1.893997311592102)","(0.5087042450904846, -0.12749817967414856, 1.7764111757278442)","(0.6973481178283691, -0.24686144292354584, 1.7371960878372192)","(0.7292827367782593, -0.2871527671813965, 1.744885802268982)","(0.7649030089378357, -0.3427073061466217, 1.737493872642517)","(0.7603997588157654, -0.3108493983745575, 1.702200174331665)","(-0.1500796526670456, -0.19035814702510834, 1.8181610107421875)","(-0.257662832736969, -0.36000728607177734, 1.7014225721359253)","(-0.2713809013366699, -0.38420018553733826, 1.6943690776824951)","(-0.33986690640449524, -0.48028573393821716, 1.6912524700164795)","(-0.32759177684783936, -0.3630315065383911, 1.749416708946228)","(0.24338312447071075, -0.7234427332878113, 1.7019736766815186)","(0.30770066380500793, -1.0997607707977295, 1.6205512285232544)","(0.2785645127296448, -1.1217879056930542, 1.4964509010314941)","(0.08743271231651306, -0.8080345392227173, 1.8880891799926758)","(0.17517897486686707, -1.125917673110962, 1.8870799541473389)","(0.1486630141735077, -1.1494661569595337, 1.7616435289382935)"
2022-09-21 15:38:58.535031,"(0.0803554505109787, 0.2899739444255829, 1.8865667581558228)","(0.09487743675708771, 0.15482516586780548, 1.8875744342803955)","(0.0987275093793869, 0.08289004862308502, 1.8960055112838745)","(0.11006248742341995, -0.1377630978822708, 1.9117156267166138)","(0.1251111477613449, -0.4389986991882324, 1.9216002225875854)","(0.277919739484787, 0.052305761724710464, 1.823836326599121)","(-0.08026425540447235, 0.024958869442343712, 1.91500985622406)","(0.20813828706741333, -0.42231816053390503, 1.8582720756530762)","(0.037686318159103394, -0.4398675262928009, 1.9158390760421753)","(0.5054747462272644, -0.13155943155288696, 1.794179081916809)","(0.6919737458229065, -0.2526799440383911, 1.7501734495162964)","(0.7207083106040955, -0.29410865902900696, 1.7551051378250122)","(0.7553388476371765, -0.3494877815246582, 1.7481391429901123)","(0.7434627413749695, -0.29888325929641724, 1.71750009059906)","(-0.1397939920425415, -0.2004913091659546, 1.8517776727676392)","(-0.2414829432964325, -0.3697097599506378, 1.7293556928634644)","(-0.23937080800533295, -0.40073052048683167, 1.725144863128662)","(-0.22838735580444336, -0.46670258045196533, 1.6765305995941162)","(-0.21919025480747223, -0.452582448720932, 1.7710001468658447)","(0.24327953159809113, -0.7271854877471924, 1.719823956489563)","(0.3288535475730896, -1.0944383144378662, 1.6389683485031128)","(0.2994619607925415, -1.1164884567260742, 1.514337182044983)","(0.09053413569927216, -0.8112574815750122, 1.9025744199752808)","(0.17581334710121155, -1.1284674406051636, 1.8954635858535767)","(0.14936423301696777, -1.1518245935440063, 1.7695797681808472)"
2022-09-21 15:38:58.570999,"(0.08157570660114288, 0.2887820303440094, 1.9072214365005493)","(0.0982913002371788, 0.15478479862213135, 1.9046478271484375)","(0.10160938650369644, 0.08290693163871765, 1.9133762121200562)","(0.11121916025876999, -0.13748522102832794, 1.9300707578659058)","(0.1236310675740242, -0.4382156729698181, 1.9415013790130615)","(0.27858641743659973, 0.05125143378973007, 1.845689058303833)","(-0.07605575025081635, 0.026144515722990036, 1.9374841451644897)","(0.20633186399936676, -0.4220421016216278, 1.8781839609146118)","(0.036630064249038696, -0.4387871026992798, 1.9357482194900513)","(0.5022022128105164, -0.134288489818573, 1.8104381561279297)","(0.6830947399139404, -0.26306822896003723, 1.764689564704895)","(0.7124956846237183, -0.3019793629646301, 1.761903166770935)","(0.7422888875007629, -0.36220794916152954, 1.7538386583328247)","(0.736435055732727, -0.3151535093784332, 1.7174286842346191)","(-0.13411740958690643, -0.2047552913427353, 1.8758848905563354)","(-0.22133944928646088, -0.39359912276268005, 1.775123953819275)","(-0.2201911360025406, -0.41419297456741333, 1.7630714178085327)","(-0.20238518714904785, -0.4793766736984253, 1.716140627861023)","(-0.18872150778770447, -0.4624355435371399, 1.8056669235229492)","(0.24003426730632782, -0.72417813539505, 1.733349323272705)","(0.3276609778404236, -1.0960875749588013, 1.6680073738098145)","(0.29794278740882874, -1.1186565160751343, 1.5430155992507935)","(0.09261290729045868, -0.8129904866218567, 1.9114290475845337)","(0.17456166446208954, -1.1306523084640503, 1.9026076793670654)","(0.14772197604179382, -1.1543477773666382, 1.77649986743927)"
2022-09-21 15:38:58.607476,"(0.08428039401769638, 0.2906770408153534, 1.9366416931152344)","(0.10583207756280899, 0.156577929854393, 1.9279718399047852)","(0.10782022774219513, 0.08468207716941833, 1.9366484880447388)","(0.11350163072347641, -0.13567757606506348, 1.9534364938735962)","(0.12063740938901901, -0.4362347722053528, 1.9655890464782715)","(0.28004732728004456, 0.05377160757780075, 1.8725405931472778)","(-0.0696069598197937, 0.03147285804152489, 1.9689695835113525)","(0.20245522260665894, -0.42095381021499634, 1.90272057056427)","(0.03465193882584572, -0.43619221448898315, 1.9594287872314453)","(0.49625253677368164, -0.1341768056154251, 1.8346143960952759)","(0.6731630563735962, -0.2659083604812622, 1.7792350053787231)","(0.7029373049736023, -0.30479520559310913, 1.7754720449447632)","(0.7319268584251404, -0.3675805330276489, 1.7619813680648804)","(0.72963547706604, -0.33387213945388794, 1.7337501049041748)","(-0.1292683184146881, -0.21268759667873383, 1.915759563446045)","(-0.20182569324970245, -0.41046401858329773, 1.8212834596633911)","(-0.18829955160617828, -0.46531417965888977, 1.8059513568878174)","(-0.16061609983444214, -0.5114291906356812, 1.7844769954681396)","(-0.15387366712093353, -0.49926361441612244, 1.8188750743865967)","(0.22731748223304749, -0.7217142581939697, 1.78352952003479)","(0.31340208649635315, -1.1013462543487549, 1.6912614107131958)","(0.28239986300468445, -1.1240766048431396, 1.5661375522613525)","(0.0932876318693161, -0.8108644485473633, 1.9235546588897705)","(0.16966387629508972, -1.1308317184448242, 1.9256329536437988)","(0.14134177565574646, -1.1547452211380005, 1.7994133234024048)"
2022-09-21 15:38:58.645391,"(0.08617256581783295, 0.29074740409851074, 1.952722191810608)","(0.1112179085612297, 0.15599381923675537, 1.9471908807754517)","(0.11256786435842514, 0.08413264900445938, 1.9555357694625854)","(0.11625126749277115, -0.13608649373054504, 1.9710403680801392)","(0.12088056653738022, -0.4364503026008606, 1.9809268712997437)","(0.2812945544719696, 0.05285321921110153, 1.888519287109375)","(-0.06711966544389725, 0.034135326743125916, 1.986140489578247)","(0.20208138227462769, -0.4217853248119354, 1.9170016050338745)","(0.03559565544128418, -0.43586429953575134, 1.9758796691894531)","(0.4955311119556427, -0.13588020205497742, 1.8490121364593506)","(0.6691961884498596, -0.27199867367744446, 1.7927278280258179)","(0.6974284648895264, -0.3093225061893463, 1.7897725105285645)","(0.7246745228767395, -0.36961352825164795, 1.7753022909164429)","(0.7160940170288086, -0.3022293448448181, 1.7409999370574951)","(-0.12419092655181885, -0.21796931326389313, 1.9404858350753784)","(-0.1861315220594406, -0.4265197217464447, 1.8654855489730835)","(-0.16830238699913025, -0.47753962874412537, 1.8547548055648804)","(-0.13941122591495514, -0.5232909321784973, 1.832338809967041)","(-0.14887270331382751, -0.47959184646606445, 1.8800418376922607)","(0.2279757708311081, -0.7239776849746704, 1.7907531261444092)","(0.31142982840538025, -1.1019316911697388, 1.6942574977874756)","(0.27992963790893555, -1.1244726181030273, 1.5686386823654175)","(0.09418230503797531, -0.8076679110527039, 1.9295405149459839)","(0.15958529710769653, -1.1345887184143066, 1.938165307044983)","(0.13089174032211304, -1.1583340167999268, 1.8114323616027832)"
